root_id,cell_type
720575941566394466,Mi1
720575941566454279,L5
720575941566512438,LC25
720575941566552118,Mi1
720575941566622471,L2
720575941566763618,L5
720575941566817122,L3
720575941566837911,L5
720575941566920246,T1
720575941567049319,R7
720575941567083159,LAL170
720575941568318322,LPC2
720575941568751918,R8
720575941569180922,T1
720575941569250094,T1
720575941569631022,R8
720575941569770286,L4
720575941569770286,LAL168a
720575941569795630,KCg-m
720575941569828654,L2
720575941569951476,L3
720575941569981178,L5
720575941570349682,T1
720575941570564602,L5
720575941570584820,LAL167a
720575941570590202,R7
720575941570639604,L5
720575941570739700,cL05
720575941570773242,L5
720575941570856954,LAL110
720575941570856954,LHAV1b3
720575941570856954,T1
720575941570883954,L1
720575941570884858,L3
720575941570912500,L5
720575941570915442,T1
720575941570919674,L2
720575941570939124,ALIN6
720575941570939124,vDeltaA_a
720575941570994682,LHAV2g2_b
720575941571008370,LHAV2a3a
720575941571355124,CB1395
720575941571778376,L3
720575941572251899,L2
720575941572293883,R8
720575941573136286,LAL114
720575941573592990,LHAV1d2
720575941573592990,LHAV2g2_a
720575941573592990,R8
720575941573639931,L4
720575941573687880,L2
720575941573816478,L5
720575941574022728,LAL116
720575941574029470,L2
720575941574169502,LC28a
720575941574468616,L5
720575941574520392,LCe04
720575941574723067,Mi9
720575941574884616,KCg-m
720575941574997832,L2
720575941575303837,L5
720575941575313915,L4
720575941575345053,LC21
720575941575379721,L5
720575941575417595,T1
720575941575467771,CB2572
720575941575511304,T1
720575941575661563,LAL175
720575941575661563,LAL182
720575941575667707,L4
720575941575705339,Tm3
720575941575723272,L1
720575941575738875,L2
720575941575749021,LAL195
720575941575768315,LC25
720575941575794683,CL171
720575941575797917,CB1340
720575941575804680,L4
